Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made
Treatment,Low Value,201.25688279349623,297.58834328219245,,76.0,No
Treatment,Medium Value,233.9696098676108,366.8286060317677,67.70828315395103,78.12757290654804,Yes
Treatment,,236.59590321255428,377.3724478859154,62.02675645464887,40.83754741450724,No
Treatment,,189.73368579006944,304.50564654293925,55.38874554351872,62.803462297539454,No
Control,Low Value,242.91874795191544,296.4995523,50.37416819400255,,No
Treatment,High Value,189.29619107042203,293.1901572789537,86.76226901400382,100.0,Yes
Treatment,,172.71326744224285,273.78660871897773,,,Yes
Control,High Value,80.10698641,91.62472506180588,87.64806924930599,,Yes
Treatment,High Value,213.82987530644004,327.93008138400563,81.47563847427371,92.56125036,No
Control,,203.93457573373277,245.7546974203021,,64.12566701,Yes
Treatment,High Value,240.1381373460719,376.4099446511353,40.974332111291474,34.95949367798411,No
,Medium Value,174.9501536477589,206.48380808350555,70.52375772226105,,No
Treatment,,223.10977283251847,349.1185062874287,46.70961392947484,34.234825173233375,Yes
Treatment,Medium Value,193.18495579477457,310.19929371686385,76.52557802557959,79.21906066959345,Yes
Control,Medium Value,237.85569656507028,279.7706518997201,71.98760622155537,60.493966638846025,No
Control,Low Value,204.3447983237008,,43.05136036722543,38.86874794573082,No
Control,Medium Value,,243.7668889196661,68.30290404624391,,Yes
,Low Value,194.14143911317265,223.48383157077896,55.25968880174097,56.395275956971616,No
,Medium Value,230.72199044990543,278.4939762260257,90.22964869766012,,Yes
Control,Low Value,172.6411685732325,206.60242866331072,57.27935910520695,70.71121373921534,No
Control,,187.09480943878944,225.0310790806274,,86.77075782988264,Yes
,Medium Value,,276.1127970870479,,76.75085454184862,No
,Low Value,254.80278710713048,,49.8811787375606,54.745266342741935,
Treatment,,170.0908019564475,269.2614163,68.23452809625607,76.60069052670516,No
Control,Medium Value,193.8522597570081,235.24420735400244,,100.0,Yes
Treatment,Medium Value,204.41422843991091,329.58828330419203,63.89043879897751,70.36518793411983,No
Treatment,Low Value,,332.3742014982016,51.439854,71.69786548,Yes
Treatment,High Value,242.43013506056477,379.38913334192415,68.74292966697837,75.71080432470482,No
Treatment,High Value,280.11381479273393,445.8580020169799,,73.93880145467571,No
Control,High Value,329.8606829034405,393.67290836024006,70.24902619495936,88.77209225448352,Yes
Treatment,Low Value,159.49871945271897,,49.39160962064821,,No
Control,High Value,,297.43026096172525,,94.1691481239588,No
,Low Value,199.38343546074964,309.07614081599064,,,No
Treatment,Medium Value,202.81692687809215,319.25173212952336,,87.33936835363953,No
Treatment,Medium Value,230.2657074675199,361.6433033,,,Yes
Control,High Value,207.4444234,249.65678666177809,,78.97114632098909,No
Treatment,Low Value,186.96916518147447,304.25051303507985,,,Yes
Control,Medium Value,135.14825766485302,161.12125635738306,71.23891843,,Yes
Treatment,Low Value,158.72659422180826,259.98678414227686,59.857212195507714,75.04613478926734,Yes
Control,Low Value,235.151248656503,275.96398455865443,53.838076583072166,50.53983280652889,Yes
Treatment,Medium Value,249.43661177410203,388.3369746047837,,79.66908695651526,No
Control,Low Value,189.4750359499581,225.7613841181884,69.93064953546359,76.0,Yes
Control,Medium Value,,216.17399505044813,55.92144718,59.89879898078164,No
Treatment,,,374.760679349396,54.46811690937271,,Yes
Control,Medium Value,265.0995500037757,320.1342860688381,64.61195627,,Yes
Treatment,,160.56077266486776,256.7264117735439,58.54494452647196,,Yes
,Medium Value,131.48052787111217,202.06389410998705,75.99044608,73.03348242837724,Yes
Treatment,Low Value,202.1712460648036,310.52976330741427,61.05205377170066,56.76579781556733,No
Treatment,Medium Value,252.2249447085389,388.1278624078349,,61.65659973284048,Yes
Treatment,Medium Value,227.6106187322048,358.5653166044325,50.97302497054243,57.58935169537693,No
Treatment,High Value,306.21071648603976,463.2741823076876,82.05345673284043,70.83106903,Yes
Treatment,High Value,306.11056932567897,465.5451552616405,,97.29332152562894,Yes
Treatment,High Value,197.15452056767944,307.78111505975056,91.79068417616044,87.87154083,Yes
,Low Value,191.90830867592632,303.14856542862583,62.07250216986202,,Yes
Treatment,,160.46925103593412,251.88053119682004,49.31684561602064,47.26441369874704,Yes
Treatment,,150.76709159012182,239.5131756116872,78.53509915297364,100.0,No
Control,Medium Value,152.52354561634357,176.23111822894197,,,Yes
Control,Medium Value,230.6858975658136,265.71879577364706,76.37909996676464,79.15259284976347,No
Treatment,Medium Value,,341.87195530101326,75.94589281552263,92.84789984371396,Yes
Treatment,Low Value,,,66.50122013060285,51.28299744465096,Yes
Treatment,,324.5249587701134,509.8624151458708,57.30177397441525,68.42506975424197,No
,Medium Value,,337.69253977676874,84.49841412929993,91.19405697,Yes
Treatment,High Value,,287.8134633,93.41854482060914,73.92144865,Yes
Treatment,Medium Value,263.1431143279257,409.97077881343097,71.44030034656885,72.24065480787068,Yes
Treatment,Medium Value,162.5573431467091,261.36898838703297,69.89900239441975,82.96803380302984,No
Treatment,,290.7317002625238,459.33297908823977,71.56058127300473,79.33711623317397,No
Control,Low Value,92.79724429016778,109.08187677223847,53.31087547884505,,No
Treatment,,181.70724310669883,278.0682759178205,66.17145716927698,61.77044572384455,Yes
Control,Medium Value,233.06358814448436,281.1982445757548,72.57037971949434,89.10679226693156,Yes
Treatment,Medium Value,,403.05320561737074,,68.76589256536491,Yes
,High Value,198.59641751754447,280.4496871,78.54906779692551,68.38842234,
Control,,158.2742140188722,187.7773205214316,70.99898661516393,98.1458976950058,
Treatment,Low Value,189.9751683560368,289.6766784898028,61.58866173145128,72.27446841364849,No
Control,Medium Value,,353.23023826079424,64.72796440210729,88.56011692,Yes
Treatment,,107.5167867260235,169.3448132983061,44.03411012296303,47.42791735391363,No
Treatment,Low Value,172.98388248336013,278.2455652132549,48.24390996665973,57.36999578973897,No
Control,,218.9919548925124,273.6186658654013,49.33814321777143,66.11109156156186,
,High Value,183.0385172873233,289.1907770405759,100.0,100.0,
Control,Low Value,,166.70503309247516,46.870950935788,,Yes
Treatment,High Value,217.3711453820713,,100.0,100.0,
Control,Medium Value,209.9688218117914,242.22829534334144,58.10238068297888,68.52570135356255,No
,Low Value,175.95117208385503,206.90702418372487,,56.46589147147654,No
Treatment,Medium Value,,444.55340445508034,72.10321900697578,77.63181866119676,No
Treatment,High Value,,372.0768245340009,100.0,96.71219703083916,No
Control,Medium Value,218.7268667266686,,70.46054728951098,,Yes
Treatment,Medium Value,,,56.92302960742848,65.33218806326003,No
Treatment,Low Value,197.9631427522604,310.0148369062279,53.72760812118344,32.906887849419455,
Treatment,,172.5640439478116,266.4449986605619,82.75386052807231,69.82160623010195,No
Control,Medium Value,,221.9213487715787,76.13094527537498,59.35356294,
Control,,,162.2374616137737,93.28146717636848,79.42952329393277,No
Control,Low Value,274.59246351835867,328.7935324073339,54.31608719453499,59.03539477551195,
Control,High Value,,327.04864420605435,100.0,,No
,High Value,,112.73068346320612,94.90874243152032,100.0,
Control,Medium Value,265.3131660447529,319.6654365187619,63.87197953000241,54.56099478076138,
Control,,,,54.10763210715948,45.28556486911267,Yes
Control,Medium Value,232.6783461416444,279.1512328137533,81.77233858693052,85.86059695401217,No
Control,High Value,,108.8784866188469,83.77613528017189,98.54042646623198,Yes
Treatment,Low Value,164.12190114047567,265.49700321648817,56.567960220919055,65.16897289746989,Yes
Control,High Value,303.8260911376491,359.5862352685562,80.41938129442038,67.77779878665486,Yes
Treatment,,290.9461588323051,466.9408444157351,,100.0,Yes
Treatment,Low Value,197.0511423746537,311.3391022727937,53.59453078947473,57.98897876411831,No
Treatment,Low Value,219.0361935436745,339.24682360420195,60.49654682794909,55.03503731587107,No
Control,Medium Value,135.93935889848956,154.69882441531493,84.65882285223245,78.32402355137249,No
Control,Medium Value,223.50117387758007,269.7194872320294,75.22736541608408,76.35429608229961,No
Control,High Value,262.60951235632785,314.2027767605217,84.82005516575785,,Yes
Control,Low Value,300.4804411575955,366.7769826796017,52.20041070819818,61.99341515521835,No
Treatment,Low Value,155.80569977614783,234.94630136428725,35.84196331674312,47.14056987869046,Yes
,Medium Value,204.8807189162857,251.77870176986136,,69.99317461572976,Yes
Control,High Value,,284.50828904125586,99.60617857940058,100.0,Yes
Control,High Value,257.83865904908504,303.9227621822666,74.67419965899143,84.21624213,Yes
Control,Medium Value,,301.62094831200403,68.26781975768355,54.33604907364477,Yes
Control,Low Value,231.65818430017143,285.22095469855327,53.32403096960018,60.64185333845226,No
Treatment,Medium Value,248.75274346575932,398.1542709470463,76.86537292832143,98.40703167,Yes
Control,Medium Value,138.16453381357115,171.66991197793732,70.86807549183521,80.31139411351035,
Treatment,Medium Value,74.64838734508524,129.40380694654738,,65.78886498309622,No
,,171.31687938116335,,,75.44572182989938,Yes
Treatment,Low Value,184.0360425538357,286.0754196895661,40.66853879470472,,
,Medium Value,167.48821126570934,210.0141638881717,64.68715058726112,62.07767315947747,No
Control,,165.56188663386624,185.0992726681943,,51.80904216045153,Yes
Treatment,Medium Value,,296.45534188003063,74.05861342292337,,Yes
Treatment,High Value,250.6309906,,94.76939848189424,100.0,
,,140.57248760098017,218.8725791526862,70.24902619495936,60.34494459004628,No
Control,High Value,221.38811858970223,267.79886832076613,72.42039174295866,,Yes
,,203.7011711892288,321.6469991235115,60.19777122872287,80.25654133479473,Yes
Control,Medium Value,240.31483191939444,288.2318834354134,79.68672645136365,90.3995298579234,Yes
Control,Medium Value,260.02720928154093,312.4596684,70.14801096460381,59.445862177030406,No
,Low Value,255.26227072825083,404.4251586813557,50.04966963,46.61697684369742,No
Treatment,High Value,177.60860698919797,,,79.71659473038649,Yes
Control,Low Value,89.23390237267094,104.60001897125522,53.86694563923689,,No
Control,Low Value,171.6731463151931,200.37166515076092,57.672489677052766,66.79891708674249,Yes
,Medium Value,125.51471293887032,194.85584537850005,69.38829649455167,63.52511711281738,Yes
Treatment,High Value,,570.6314938741401,94.35264990785598,,Yes
Treatment,Medium Value,,,54.42813252891986,67.35536935993028,No
Control,Low Value,,253.8840797225241,,57.05571590646722,No
Control,,,302.0251054838937,70.2917281,,No
Control,,240.9584676039904,296.7531444262975,76.61458651757438,74.82630927,No
Control,Medium Value,320.7389164522767,382.5826107334704,74.02291527758838,70.00729049262463,
Control,High Value,216.0051496298113,253.73104393300005,89.06893311473351,100.0,Yes
Control,High Value,173.12181611634844,209.52114983279495,75.29173876661254,,No
Treatment,Medium Value,153.75065706606762,,69.76797745284802,85.39459315839207,Yes
Control,,219.001842869018,260.2715771372873,50.08905970352529,53.14968615207197,No
Control,Medium Value,192.84870665050957,233.01676748254155,,60.5606052542902,Yes
Control,Low Value,146.4305639747237,184.93627516140117,50.83908375068065,50.621448035239546,Yes
,Low Value,205.11906813119657,310.0329660552224,,73.92144865,Yes
Control,,238.60682013761013,278.3087364749733,59.81050324612799,,No
Control,Low Value,,,56.596539746778575,59.168742398849474,Yes
,Low Value,216.88297314698724,335.18605136031124,54.96409899941634,56.15136590213687,No
Control,Medium Value,,250.9919739605699,67.66496643366789,60.16230405471416,No
Control,Medium Value,178.16418720981008,222.4258833634069,49.69996379773327,,No
Control,Medium Value,245.23578757271983,299.8658690738409,70.35990844039934,56.50653868022231,
Control,Low Value,137.61990152792285,162.055497276417,57.83707786729244,74.15855214,No
Control,,162.86036919355232,204.4292430321418,100.0,100.0,No
Treatment,Low Value,237.03430748203328,,61.004389218574886,73.92144865,Yes
Treatment,High Value,,315.60732551961905,73.88877326,55.50635558225035,Yes
Treatment,Medium Value,287.7420648120068,451.2605225689732,63.78280617292977,68.73121434,Yes
Control,High Value,271.51358496837514,328.0195084439517,83.63152119,96.80895909,Yes
,Medium Value,176.84637524990384,216.8319042,69.26013467149953,79.35013472786777,Yes
,Medium Value,229.84059089677007,280.00239712179734,70.31135738129062,65.11550464808941,No
Treatment,High Value,366.27561088100543,576.6800260068277,100.0,100.0,No
Control,,246.89149498317465,292.29360201434054,73.20787232479987,96.40486270210164,No
Control,,261.94921766190805,307.6373966207318,100.0,,No
Treatment,Medium Value,167.22618757103376,265.81665398685175,62.45751056,78.04242353662855,Yes
Control,,,315.86802848178354,51.25591172043852,,
Treatment,,245.0883871932338,387.7427177705532,50.30321325094679,53.45936599936718,Yes
Treatment,Medium Value,177.15771773121077,271.6685596679185,68.34606852468814,76.34946955326508,Yes
Treatment,Medium Value,300.48123664536564,473.6535303889916,55.28594614301039,54.3145243337388,Yes
Control,High Value,254.46948775887503,,100.0,100.0,No
Control,Low Value,148.28088665371638,175.21329597828398,54.50363374,65.45166868704845,Yes
,High Value,197.64782952097292,244.22955749960744,74.33006209366759,90.85603387759916,Yes
Control,,252.6052698248928,309.08046292122447,59.72087432694995,76.95487853697678,No
Control,,,199.21196238695356,,70.45285036943633,
Control,,162.0094020578389,191.1913719,98.68717174794428,100.0,Yes
Control,Medium Value,185.86076916725585,221.71847093193372,78.69238582945903,100.0,No
,Low Value,167.1480593981227,260.8645638116155,54.56779618906734,52.55969552655669,No
,High Value,186.13907069374048,219.8573795951108,96.39984576710457,100.0,Yes
Treatment,Low Value,161.07007586250873,252.62559595245813,56.05010067942868,50.58398810021666,No
Control,Low Value,225.31809996029187,266.8515008219877,53.60198977,58.57578831821999,No
Control,,,254.58336260257397,52.029200695371344,62.212476563107366,No
Control,High Value,,,88.76195473220535,100.0,Yes
Treatment,,186.1792218255412,284.3045455301978,68.90518555817476,63.91127015716558,
Treatment,Low Value,170.60401364537503,270.71529068009835,53.74541299884373,,No
Treatment,Low Value,178.30874580005417,,56.93952694621703,68.95513403250536,No
,Low Value,185.51045206556356,284.1156568840329,,46.31907522059224,No
Control,Medium Value,,296.0139104347766,60.07745917798249,59.198434949066765,
Treatment,,208.7322301400081,328.1842153867039,71.23060768991893,87.79107616,No
Control,High Value,233.2289390032169,282.30773302154614,92.44283126,78.09002843480309,No
Control,Medium Value,279.0067097233544,334.784933810176,67.95951741705082,63.39739173948481,Yes
Treatment,High Value,,510.9779508000127,,100.0,No
Treatment,High Value,158.23455952496585,248.20619896942804,80.99486950746781,63.28331418944403,
Treatment,,,217.09710434343216,96.34016376017492,79.88402332041021,
Treatment,High Value,202.0065922528436,327.64566796535826,100.0,100.0,Yes
Treatment,High Value,279.6280078660773,433.5118329939782,93.14271807578432,100.0,No
Treatment,Low Value,203.714756846914,315.0339247258297,,,
Treatment,,247.03357757403143,381.7992650978511,74.84260594314985,,Yes
Treatment,Low Value,,255.50887074988924,52.01440504057535,64.86835253749315,No
Control,High Value,113.65040023797252,134.62365979382352,80.55064422426287,88.04462331,Yes
Treatment,Medium Value,140.3728987691547,212.9116486,,73.35117261087318,
Treatment,Low Value,,323.4666690172366,57.9985906211005,,No
Control,,231.31854084630257,279.39513538032594,53.99749911652805,63.23994678849249,No
Treatment,,122.86694192485804,192.50058377559125,95.20121364736568,73.92144865,No
Control,Low Value,251.4461974016484,303.1193853300914,70.47928772050702,,Yes
Control,,199.63289252713,243.22348306985276,62.21443777025113,62.585602459224496,Yes
,Low Value,179.4518839770623,271.51209739799964,47.89004399572472,49.10096530756628,No
Control,Low Value,153.8009713,185.24056213925755,53.99339475479981,63.761951445439664,Yes
Control,Low Value,252.82737149867688,311.43374863185664,56.50670170292613,,Yes
Control,High Value,284.1010754697619,336.3134051963752,78.01517624,94.7030679700816,No
Control,High Value,254.3295942151632,321.08902027859574,95.9086181395866,,Yes
Treatment,Low Value,145.63885411176824,223.9316371855139,47.80650421339183,73.92144865,Yes
Control,,318.9637493324936,383.4007194,98.72969437,100.0,No
Treatment,High Value,,373.23105911507554,100.0,100.0,Yes
Control,Medium Value,224.8161423610573,260.05297539721585,69.58202887464886,78.12626579867006,Yes
Control,Low Value,180.74723301633944,211.6278305823595,56.24406510218231,60.61137789844747,No
Control,High Value,,219.98606631436792,91.70312960906904,97.09213872259042,No
Control,,249.78098738454528,297.1202316733387,,71.00424115018775,Yes
Treatment,Low Value,212.50873936414493,324.1479396956715,49.39767608201197,51.78204064417786,No
Treatment,Medium Value,184.9454048608236,296.96061593658465,76.00672396338294,,No
Control,Low Value,198.3556088357375,238.86172090310512,55.00571256052001,70.24889286099965,
Control,Medium Value,203.1619870573969,241.9566625876413,69.20878040288274,91.56001396528802,No
Treatment,,225.2978273850177,366.72574824183897,61.71268686673115,74.82817401899506,Yes
Control,Low Value,203.84622026439388,243.7668889196661,57.71402462,71.56332213528778,Yes
Control,Low Value,190.0216284746741,221.43851563305464,,76.0,Yes
Control,Low Value,,,45.72204898000552,45.08495923269288,No
Treatment,Medium Value,182.65243292223892,285.8775008530173,68.00254609604717,58.500726671169225,
Treatment,Medium Value,,270.3590653532548,81.95329742225283,78.45309212933316,No
Treatment,High Value,181.20189302811,274.8689487384702,100.0,100.0,Yes
Control,Low Value,,232.54096954503507,46.52056455919723,40.47645273473222,No
Control,Medium Value,,235.26291953452775,65.05233854855321,74.61686614155853,No
Treatment,Medium Value,199.78215065782763,306.8274160685117,,78.31987469,Yes
Treatment,Medium Value,228.1111874714226,,83.22336483520195,87.66472627011001,Yes
Treatment,,,367.053227915236,53.17842603040446,56.44631005707512,Yes
Treatment,High Value,291.1992413378143,461.2068903804615,86.36925152558338,100.0,No
Control,Medium Value,169.5958025154586,,67.61203005962211,72.55250035092564,No
Treatment,Low Value,228.2080599425143,,53.39753130869877,61.06323408005874,No
Control,Medium Value,310.3848361504584,370.5331427812384,74.61389029807442,90.87922622913912,No
Treatment,,208.47758623036387,313.17627172429167,89.62892659684792,98.48830030833288,No
Control,High Value,222.0492860712623,258.51528514003365,,100.0,Yes
,,189.19250939379944,285.3888490952934,59.95672445700271,66.41405538284323,Yes
,Medium Value,152.5947148556618,230.88137954949983,67.50448877,76.45257035481909,No
Treatment,Low Value,115.14630577811444,180.2564938482037,76.0,,No
Treatment,Low Value,,300.4238180945526,50.42258531059544,68.07368911207128,Yes
Control,High Value,210.7852962651466,236.78876069717185,100.0,,Yes
Treatment,Low Value,225.2504113023162,356.5781072537379,65.59595994954036,74.13652327734084,No
,Low Value,211.1061961265345,260.1766275310084,49.900772475402704,49.801143813732295,No
Control,High Value,191.9813547589404,243.0512916458154,89.7963558,,No
Control,Medium Value,179.4257946656782,216.81746997870945,78.81755483662342,74.96467936280483,Yes
Control,High Value,193.2635475705923,218.73370194156143,100.0,,
Treatment,Low Value,277.16045366053373,421.4633994621318,,52.57470157287559,
Control,High Value,,,93.70963945586644,100.0,No
Control,,203.84622026439388,243.7668889196661,,70.94002935583408,Yes
Control,High Value,202.1032343353152,237.07564388643743,100.0,100.0,No
Treatment,Low Value,177.1537306159283,264.3715828539285,48.34540354542873,52.54263093498663,Yes
Treatment,Low Value,202.87908480305032,307.48222756573534,,60.99249630553126,Yes
,High Value,343.7457232490647,539.2788027157825,82.11659647663483,91.1188417410226,Yes
Treatment,Medium Value,224.4311302297537,352.50278228902056,61.005313250138656,72.32953638784495,Yes
Control,High Value,255.7471874592346,312.2032968566885,84.30022061490621,78.60387639960483,No
Control,Medium Value,82.1425627,105.56106320406828,65.81784129557809,51.52419148,Yes
Treatment,Medium Value,221.57630320589604,337.2115650830332,84.95043545872402,,No
Control,High Value,144.9354450027893,,83.39532345,100.0,No
Control,Medium Value,,208.47909067827052,,71.9906128,Yes
,Low Value,190.51365538585537,226.9151356295626,47.63291188938352,60.45674051381045,Yes
Treatment,High Value,212.9256456484506,324.12429396748604,99.90089217072244,87.57079888673333,Yes
Treatment,Medium Value,173.75066557963518,275.72426391827486,,79.82715713276339,Yes
Control,Low Value,157.4124093595147,184.67331805275128,,64.22803213867786,No
,High Value,,349.8268579314853,83.42793407162425,91.25898014,Yes
Treatment,Low Value,171.0233487373031,268.89850968395774,47.04630519133264,60.79448630232207,Yes
Treatment,Low Value,188.5165250113174,300.9221812523946,46.25445839441304,36.38753524501887,Yes
Treatment,Low Value,181.8111583202533,286.4775768598949,60.24307371768219,63.00612910621367,
Treatment,Medium Value,268.6210450380396,432.46103348236056,65.27183512,63.46714720288593,Yes
Control,High Value,119.64730261740095,137.96819040405524,98.17907022529234,93.86734329255458,Yes
Treatment,,244.3714610032825,386.5371930945053,78.35427968528887,74.31737885324092,
Control,Medium Value,213.4164473506964,257.3987365094772,,,Yes
Control,High Value,226.18654844830132,265.0474588507297,83.93958270270495,91.84621169184456,No
Treatment,,153.59886241092633,245.1135971661344,47.28495375521729,49.37600294600301,Yes
Control,,221.95753029480767,270.8016188,66.54339198312643,,No
Control,Medium Value,122.66710049200594,142.06512633138286,58.76579639599221,62.12201753691094,Yes
,Low Value,196.06986469748173,224.98926902189515,61.32182246873837,75.74992079,No
Treatment,Medium Value,224.67834461309133,348.1253509091818,63.61665788794658,53.05185732985963,Yes
Treatment,Low Value,154.0988575618502,234.0811073687122,57.93608404265133,57.13107653924809,
,Low Value,,330.2610732216538,54.40962081100811,50.47200517,Yes
Treatment,High Value,215.4691343723824,334.5186199041587,84.14466183314637,75.02944226081583,Yes
Treatment,Low Value,196.7558432400668,318.3264668721712,49.56884136929077,53.19912287169939,No
,,267.79321012845685,,,67.04766479303925,No
Treatment,,337.8009079523841,530.4365743844868,98.03668584,92.4153239408836,Yes
Control,Medium Value,,177.2742436542802,58.08044208461072,,Yes
Control,Low Value,163.0359582540984,189.14416578831532,,44.895757815931006,No
Treatment,Medium Value,,313.22006529324227,76.86848086,98.3655144196224,No
Treatment,,172.08826788658894,260.12729211797665,77.39794276,78.0503195,Yes
Control,Low Value,223.5292119681828,269.5429499166035,60.39411902705933,,No
Control,High Value,174.92449552593425,208.3701302993194,85.02781702056508,89.99915524407416,
Treatment,Medium Value,,425.9659004369677,56.80318035421547,51.23442449,Yes
Control,Low Value,210.58699250520192,245.9254128545109,57.589578482059125,72.06101189143163,
Treatment,High Value,,461.8308435,88.18197972401393,96.51206796067171,No
Treatment,High Value,179.35871213675026,,100.0,,Yes
Control,High Value,201.2379896160257,248.70312473692837,91.49155027,,Yes
Control,Medium Value,249.54564669500127,291.9089220976475,84.41822463585015,83.41623280808449,No
Treatment,Medium Value,244.15030413569505,365.2248045401432,67.32943497647109,,Yes
Treatment,Medium Value,189.1325651066973,288.7320953642852,82.97067209606259,,Yes
Control,,,248.4174669522421,87.63859129038461,92.83260435882708,No
Treatment,Medium Value,,289.3697269,76.36604654318636,,Yes
,,,216.9752940713981,41.3399918,50.93205516182854,Yes
Treatment,Medium Value,155.56275052202062,,81.09228601541155,,No
Control,Medium Value,147.36555710483668,162.46087498141867,68.16268710229217,68.64344470930969,Yes
Control,High Value,,343.7874539795319,95.69055090022302,95.81946726194562,Yes
Control,Medium Value,188.92695158043543,226.8247018009479,65.98985897416246,76.70359578367375,Yes
Treatment,Low Value,,364.3377767975285,,63.43243028796587,
Treatment,High Value,255.93171792825797,405.12758017212593,91.46711720063712,100.0,
Control,Low Value,198.8989630370819,234.10802795389884,,49.70105863299474,No
Treatment,,189.76757875994264,286.24497546652856,100.0,100.0,Yes
Control,,168.63442668605214,203.1428212626054,58.19141706635857,65.50020110682951,Yes
Control,Medium Value,,230.1451756700341,66.77965864903751,,No
Treatment,Low Value,254.09874891100483,385.8790854989512,53.70807847568192,58.90597248671399,No
,High Value,275.9937642172474,429.2317442,78.53933040927245,94.08920303377768,No
Control,,,204.3696243177601,73.05094828754153,94.49777588845797,Yes
Treatment,,202.63725245385555,309.6467833712946,72.97329007614536,88.70791072244629,No
Treatment,High Value,174.58307810385554,267.04104471433334,,75.75089082,
Control,High Value,143.96149979830312,175.71836136415934,95.43064190649402,100.0,No
Control,High Value,228.3602633533104,276.47820216839915,76.52752925,94.7847399712284,No
Treatment,High Value,325.0465590644062,497.3764802712984,94.13298499176577,93.97616314,Yes
Control,,331.3072093930788,386.8275195611772,80.30780926,78.70715842013611,Yes
Control,Medium Value,236.5462230361329,289.1098929,65.31185266248195,67.50826872137095,No
Treatment,High Value,196.4346405258037,311.5600186644847,,93.47438192304864,Yes
Control,Low Value,123.92144784329815,154.33484805168737,,,No
Control,,257.1011602925668,310.53355371495513,66.14483474,73.25230632749421,Yes
Treatment,Low Value,207.2162175420665,331.24485745057444,47.411663289297024,57.33018425247665,No
Treatment,,210.13587436913772,305.55059650002534,89.44330432705948,,Yes
Control,Low Value,164.80872332192487,195.9060364,38.810790854950845,45.960848515264914,No
Control,High Value,256.28853417490404,301.36245980402146,79.86501908479988,91.20934979045772,Yes
Treatment,High Value,182.1880112234213,299.6785474642809,100.0,100.0,No
Treatment,,,,59.010103446052575,66.19928939307493,Yes
